url,type,Results
br-icloud.com.br,phishing,1
mp3raid.com/music/krizz_kaliko.html,benign,0
bopsecrets.org/rexroth/cr/1.htm,benign,0
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement,2
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,defacement,2
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign,0
espn.go.com/nba/player/_/id/3457/brandon-rush,benign,0
yourbittorrent.com/?q=anthony-hamilton-soulife,benign,0
http://www.pashminaonline.com/pure-pashminas,defacement,2
allmusic.com/album/crazy-from-the-heat-r16990,benign,0
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign,0
youtube.com/watch?v=MMU8nfsKPTQ,benign,0
aol.sportingnews.com/ncaa-basketball/feed/2011-09/top-50/story/no-9-baylor-bears-glance,benign,0
http://portal.dddgaming.com/docs/rules/15027/cn/game_cn.html?amluMjAxNQ%3D%3D,malware,3
zimbio.com/Simon+Rix,benign,0
http://auto.ru/cars/bmw/7er/all/?search%5Bstate%5D=1&search%5Bperiod%5D=0&search%5Bcustom%5D=1&search%5Bsection_id%5D=0&search%5Bmark%5D%5B0%5D=30&search%5Bmark-folder%5D%5B0%5D=30-401_2874,benign,0
http://mmc-leipzig.com/index.php,defacement,2
lyricsmode.com/lyrics/b/bill_champlin/,benign,0
youtube.com/watch?v=I2cSvdnFySc,benign,0
hockeydb.com/ihdb/stats/leagues/seasons/teams/0007902010.html,benign,0
maxalbums.com/index.php?artist=Eminem+Hailies+Revenge&album=,benign,0
bishop-accountability.org/news3/2006_04_02_TraverseCityRecordEagle_ReverendPatrick_Patrick_Barrett_1.htm,benign,0
http://www.bessels.com/projecten/kantoren/0863-massastudie-pieters-kaashandel-almere.html,defacement,2
hockey-reference.com/players/m/mckayra02.html,benign,0
http://www.sanmarinosposi.com/index.php?option=com_content&view=article&id=109:studio-immagine&catid=49:servizi-per-la-cerimonia&Itemid=71,defacement,2
mentalfloss.com/blogs/archives/29393,benign,0
http://www.escueladeeconomiaynegocios.com/index.php?option=com_zoo&view=category&layout=category&Itemid=143,defacement,2
myspace.com/thepaintedbird,benign,0
http://concept-textile.com.ua/sejeal.jpg,defacement,2
"http://pembrokeshire-farm-cottages.co.uk/component/option,com_rentalotplus/Itemid,11/call_type,1/controller,enquiry/currency,GBP/datefrom,2012-04-21/dateto,2012-04-28/task,display/unit_id,1/index.html",defacement,2
facebook.com/leblanc.lucie,benign,0
http://www.einsteininrastatt.de/index.php/component/user/register,defacement,2
http://www.lgk-luzern.ch/index.php?option=com_content&view=article&id=51:unbezahlter-urlaub&catid=4&Itemid=46,defacement,2
livingelectro.com/search/Wake+Up+Call/1,benign,0
2camels.com/camel-wrestling-championship.php,benign,0
discogs.com/label/Constellation+Records,benign,0
http://www.prosenior.ch/index.php?view=weblink&catid=2:sites-dedies-aux-seniors&id=98:spes-lavaux&option=com_weblinks&Itemid=6,defacement,2
facebook.com/note.php?note_id=254162211272625,benign,0
facebook.com/Amfirst?v=wall,benign,0
http://www.vakantiehuislereve.nl/index.php?option=com_content&view=article&id=52&Itemid=58,defacement,2
192.com/atoz/people/sturgeon/craig/,benign,0
group10intl.com,phishing,1
http://variety.com/2015/film/news/cannes-opening-natalie-portman-julianne-moore-1201494940/,benign,0
geology.com/state-map/new-jersey.shtml,benign,0
http://mashable.com/category/small-business/2015/04/16/strategies-for-running-fast-growing-company,benign,0
http://tinnhanh360.net/ngat-ngay-voi-bo-anh-me-nguc-tran-cho-con-bu-giua-thien-nhien.html,benign,0
http://www.plasmatreatment.co.uk/templates/ja_purity/images/header/index.html,defacement,2
music.yahoo.com/joel-crawford/,benign,0
walkoffwalk.com/2009/03/ichiro-has-no-patience-for-you.html,benign,0
medford.craigslist.org/rvs/2710712723.html,benign,0
pbase.com/world/northern_ireland,benign,0
http://tunein.com/radio/Vibration-Country-s117836/15480783/ca-pub-1542925551861702/Station,benign,0
genforum.genealogy.com/cyr/page8.html,benign,0
http://comies.nl/index.php/testimonials?el_mcal_month=3&el_mcal_year=2013,defacement,2
toddswift.co.uk/,benign,0
http://www.hostinglelo.com/log/account/Apple/Apple%20Login/Apple/,phishing,1
en.wikipedia.org/wiki/Bob_Delaney_(basketball_referee),benign,0
quiz.thefullwiki.org/Amy_Winehouse,benign,0
http://otomoto.pl/osobowe/jeep/grand-cherokee/JOcK7gzdoyrcIT2176iLzhCz8UoPOGcT6Y1ax8FNTPf.l7,benign,0
http://putlocker.is/watch-lego-dc-comics-batman-be-leaguered-online-free-putlocker.html,benign,0
http://www.emyvalecottage.com/index.php?option=com_mailto&tmpl=component&link=eb2f0566582fd91672c2c6cd12b4286c5b713c04,defacement,2
lecoeurduquartier.wordpress.com/,benign,0
http://theexpertautorepair.com/brake-repair-specials/year.listevents/2013/02/03/-.html,defacement,2
dogpro.com/,benign,0
alexa.com/siteinfo/tou.tv,benign,0
facebook.com/brigitte.mann,benign,0
jgs-montreal.org/,benign,0
business-standard.com/india/news/16-million-new-jobs-to-be-created-in-2011-ma-foi-randstad-survey/430597/,benign,0
http://buzzfil.net/m/show-art/decouvrez-ce-qui-arrive-si-vous-placez-un-glacon-sur-ce-point-precis-de-votre-tete-9.html,benign,0
popularnetjobs.com/,benign,0
il.linkedin.com/pub/dir/+/Engel,benign,0
fhautism.com/,benign,0
classmates.com/directory/public/memberprofile/list.htm?regId=8698263775,benign,0
aolnews.com/2010/03/15/ncaa-2010-womens-basketball-tournament-selections-and-pairings/,benign,0
http://www.sklep-splawik.pl/index.php?option=com_phocagallery&view=detail&catid=1:galeria-sklepu&id=93:yki&tmpl=component&Itemid=16,defacement,2
cduniverse.com/70's-collection-shes-a-lady-lyrics-3293408.htm,benign,0
mexico-facts.com/Chihuahua/Saucillo/Loma-Chica/,benign,0
http://koncentraltda.com/index.php?option=com_content&view=article&id=24&Itemid=21,defacement,2
scribd.com/doc/43896252/First-Amazon-Studios-Movie-Pitch-to-WB,benign,0
http://www.cornwalldefencesolicitors.co.uk/index.php?option=com_content&view=article&id=1&Itemid=2,defacement,2
myspace.com/dannyshay,benign,0
http://www.designreisende.de/index.php?option=com_contact&view=contact&id=2&Itemid=84,defacement,2
http://www.051661.com/uploadfile/2013/0709/20130709174318163.jpg,malware,3
cjmarketing.com/Contacts/,benign,0
baseball-almanac.com/mgrtmkc9.shtml,benign,0
http://www.e-holler.at/sejeal.jpg,defacement,2
eng.tekkenpedia.com/wiki/Tekken_(2010_film),benign,0
construction-virginia.blogspot.com/,benign,0
reedmusic.com/composers/barrett-john,benign,0
http://www.afrikaansealbinos.nl/index.php/nl/sitemap.html,defacement,2
restomontreal.ca/restaurants/index.php?section=viewresto&resto_id=935&lang=en,benign,0
westcoastwords.com/underwater-robotics.html,benign,0
law.justia.com/cases/federal/appellate-courts/F2/711/1117/302649/,benign,0
myspace.com/rayrayg04,benign,0
http://www.americanbussales.net/school-buses/36-to-72-passengers/2008-international-ce-72-passenger-2/index.html,defacement,2
en.wikipedia.org/wiki/CFKM-DT,benign,0
myspace.com/trapt,benign,0
http://www.bissfest-marburg.de/catering-marburg/buffets-catering.html,defacement,2
aerosim-first-step-for-fs2002.com-about.com/,benign,0
http://www.mnemonicmultimedia.com/website-hosting/web-hosting,defacement,2
en.wikipedia.org/wiki/1918_in_film,benign,0
ket.org/trips/aviation/vanmeter.htm,benign,0
facebook.com/pages/Terence-Blanchard/87113100667,benign,0
baseballcardshopper.com/Topps_Bowman_Fleer_Donruss/baseball_cards_player.aspx?player=Dick%20Howser,benign,0
hockeydb.com/ihdb/draft/nhl1982e.html,benign,0
canadabodybuilding.com/showthread.php?13961-Paul-Dillett-Canadian-IFBB-Pro,benign,0
itunes.apple.com/us/album/constance-demby-live-in-tokyo/id299971033,benign,0
fabpedigree.com/s009/f445246.htm,benign,0
answers.com/topic/hank-williams-the-show-he-never-gave,benign,0
http://emgn.com/entertainment/can-you-pick-the-10-most-recognizable-songs-of-all-time/,benign,0
courier-journal.com/article/20110706/ZONE04/307060015/Westport-Middle-students-community-benefit-from-library-school,benign,0
viagogo.com/,benign,0
robic.biz/,benign,0
abclocal.go.com/kgo/video,benign,0
sun-associates.com/evaluation.html,benign,0
gary-sinise.com/2011/07/actormusician-gary-sinise-pays-visit-to-wounded-staten-island-vet-brendan-marrocco/,benign,0
freepages.genealogy.rootsweb.ancestry.com/~lowend/ogilvie/pafn03.htm,benign,0
sweetlovecreates.bigcartel.com/,benign,0
http://www.schighway.co.kr/homepage/contents/sc_sub3/festival_list.asp,defacement,2
rottentomatoes.com/celebrity/robin_stille/,benign,0
store.steampowered.com/publisher/Warner%20Bros.%20Interactive%20Entertainment/,benign,0
norcaltvnews.tripod.com/,benign,0
imdb.com/title/tt0250078/,benign,0
http://www.paradigmafcm.com/es/contactanos,defacement,2
filepie.us/?title=New_York_City,benign,0
cduniverse.com/productinfo.asp?pid=1067150,benign,0
http://www.slaviacapital.cz/domov,defacement,2
facebook.com/people/George-Cleveland/100000929229067,benign,0
goldengatelanguage.com/,benign,0
http://thecheekofher.com/videos?start=20,defacement,2
spoke.com/info/p9eu489/PatriciaIsabella,benign,0
imtl.org/montreal/building/Oratoire-Saint-Joseph.php,benign,0
search.ancestry.com/search/db.aspx?dbid=8838,benign,0
amazon.com/7eme-compagnie-DVD-French-only/dp/B000IHYW1I,benign,0
http://www.login-batnr.tk/cert/login.asp,phishing,1
lyricsmode.com/lyrics/m/marianne_faithfull/falling_from_grace.html,benign,0
cbc.ca/news/politics/story/2011/11/24/pol-cbc-ethics-committee-lacroix.html,benign,0
http://www.kimebat.be/index.php?option=com_content&view=article&id=18:offres-demplois-1&catid=4:offred-demplois&Itemid=20,defacement,2
blogs.theprovince.com/2011/09/22/newold-face-on-leos-ol/,benign,0
history.rochester.edu/canal/,benign,0
sspx.org/,benign,0
http://www.industrial-automation.ch/index.php?option=com_phocadownload&view=section&id=22&Itemid=18,defacement,2
http://www.westlondongmpresources.org.uk/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=403&category_id=42&option=com_virtuemart&Itemid=1,defacement,2
en.wikipedia.org/wiki/Lorenzo_Lynch,benign,0
cdbaby.com/cd/jgcc2,benign,0
http://enriclloret.com/index.php?option=com_weblinks&view=weblink&catid=2:principal&id=3:ajroses&lang=ca,defacement,2
gliac.org/general_news/2010-11/GLIAC_BKB_Supervisors,benign,0
mediafire.com/?lglkigmjjmd,benign,0
kansascity.craigslist.org/med/,benign,0
http://www.adriaszalon.hu/index.php?option=com_content&view=article&id=109:m-acryl-kadak-10-kedvezmennyel&catid=48:akcio&Itemid=60,defacement,2
summer.berkeley.edu/,benign,0
elyrics.net/song/f/foxboro-hot-tubs-lyrics.html,benign,0
art.library.wisc.edu/resources/guides/WisconsinArtistsRev2.htm,benign,0
zjhvbhqp.beget.tech,phishing,1
http://www.gonzalespd.org/index.php?option=com_jcalpro&Itemid=41&extmode=day&date=2013-03-01,defacement,2
archive.org/stream/virginiamagazine1917bruc/virginiamagazine1917bruc_djvu.txt,benign,0
http://www.aquamarinadivingtenerife.com/en/courses/418-padi-professional-training.html,defacement,2
music.napster.com/album/songs.htm?albumid=13020701,benign,0
http://bdnews24.com/politics/2015/05/13/salahuddin-went-into-hiding-on-his-own-kamal,benign,0
md.optimuslaw.com/elder.law.htm,benign,0
manta.com/c/mm3zts0/trans-x-usa,benign,0
http://mixi.jp/share.pl?u=http://alfalfalfa.com/articles/117912.html&k=e09afc106e473491952cfe324aa83aabe5b07446,benign,0
facebook.com/chaostoorder,benign,0
zianet.com/ynika/bryant.HTML,benign,0
terpconnect.umd.edu/%7Edwilt/fbiogs.htm,benign,0
nivanspromoters.com,phishing,1
greasyonline.com/article47.html,benign,0
uslpro.uslsoccer.com/home/402285.html,benign,0
libraries.cca.edu/,benign,0
http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001005&free3=item&disp_no=007001005,benign,0
oasis.lib.harvard.edu/oasis/deliver/~hou00563,benign,0
thepaulemerson.com/,benign,0
cduniverse.com/productinfo.asp?pid=7798071,benign,0
sae.net/Page.aspx?pid=282,benign,0
http://www.liceoparroquialsangregoriomagno.edu.co/index.php?option=com_phocadownload&view=category&id=17:sociales&Itemid=105,defacement,2
med.upenn.edu/apps/faculty/index.php/g20000322/p2236488,benign,0
http://jezebel.com/5975294/do-you-think-kate-middleton-cried-after-seeing-her-first-official-portrait,benign,0
travel.yahoo.com/p-travelguide-6616873-emeryville_restaurants-i,benign,0
http://riedland.ch/index.php?option=com_phocagallery&view=detail&catid=5:marktfotos&id=74:marktfoto&tmpl=component&Itemid=55,defacement,2
nme.com/nme-video/youtube/id/xrd1NxeENKU/search/yamada-ryosuke,benign,0
montrealvip.com/info/category/nightclubs/page/2,benign,0
http://www.reing-infor.com.mx/index.php?option=com_content&view=article&id=67:sisadpe-punto-de-venta&catid=36:productos-reingenieria&Itemid=67,defacement,2
http://www.job.ph/index.php?option=com_jobs&task=detail_category&id=848:secretarial-a-administration&Itemid=2,defacement,2
shersons.bid,phishing,1
wn.com/1968_New_York_Jets_season,benign,0
http://21twentyone.net/index.html?option=com_content&view=article&id=68&Itemid=131&fontstyle=f-smaller,defacement,2
vh1.com/artists/az/wainwright_rufus/artist.jhtml,benign,0
http://www.be-werber.de/index.php?option=com_k2&view=itemlist&task=category&id=17:bundeslà¸£à¸nder&Itemid=56,defacement,2
projectavalon.net/lang/en/lucia_ren%C3%A9_unplugging_the_patriarchy_3-10-11_en.html,benign,0
familysearch.org/Eng/Library/fhlcatalog/printing/subjectdetailsprint.asp?subject=224312&first=1,benign,0
servidorgerenciado.com.br,phishing,1
http://www.cadou.ro/exchange/drive/contactform.php,phishing,1
dailybulletin.com/ci_18870078?source=most_viewed,benign,0
infonovia.com,phishing,1
24-7pressrelease.com/press-release-rss/dreamstar-parties-inc-announces-its-appearance-schedule-and-2nd-season-with-the-oakland-athletics-148188.php,benign,0
facebook.com/pages/Michele-Rosewoman/106287352735574,benign,0
nme.com/artists/efrim-menuck,benign,0
maps.thefullwiki.org/John_Holmes_(pornographic_actor),benign,0
terezowens.com/blue-jays-pitcher-ricky-romero-dating-miss-usa/,benign,0
linkedin.com/pub/kim-cullom-curran/14/3a7/47a,benign,0
ca.linkedin.com/pub/joseph-cohen/4/900/755,benign,0
evri.com/organization/cjpx-fm-0x130844,benign,0
mylife.com/jeremyweisinger,benign,0
http://cmmtoronto.com/pt/noticias/item/78-helena-tannure,defacement,2
http://www.niobestudio.com/index.php/servicios-que-ofrecemos.1,defacement,2
corporate.disney.go.com/citizenship/,benign,0
web.me.com/cphodgin/History/Heroes.html,benign,0
genforum.genealogy.com/prevost/,benign,0
units.sla.org/chapter/cecn/e/events.htm,benign,0
toddcassetty.com/,benign,0
account-security-centre05032018.000webhostapp.com,phishing,1
http://greatlakesbuildersinc.com/projects/commercial/115-replaced-wood-beams-and-columns-with-steel,defacement,2
prisereform.org/,benign,0
familypedia.wikia.com/wiki/Nicolas_Patenostre_%28c1625-1679%29,benign,0
ebay.com/itm/BOZAK-Speaker-B300-/370521156321,benign,0
http://www.real-house.nl/dj-charts.html,defacement,2
dgmweb.net/Ancillary/Geog/OH/OH-Cos.html,benign,0
http://sohacogroup.com.vn/index.php?option=com_virtuemart&Itemid=128&page=shop.browse&category_id=22,defacement,2
